no,totalarea,sitearea,buildingarea,typicalfloorheight,totalheight,basement,groundlevel,parkinglot,type,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,year,buildingcost,duration
75,2017.56,6248,1307.54,4.5,19,1,2,33,1,1,0,0,0,0,0,0,0,0,0,0,2015,5248,360
76,471.46,55950.78,240.79,4.2,21,0,2,107,4,0,0,0,1,0,0,0,0,0,0,0,2015,501,0
77,3379.98,67996.9,1340.11,4.2,45.17,0,3,733,4,0,0,0,1,0,0,0,0,0,0,0,2015,3564,250
78,9203.82,18494,9203,4.2,21,1,4,62,4,0,0,0,1,0,0,0,0,0,0,0,2015,9864,540
79,4409.77,500862,2587.52,4.8,13.95,0,2,722,2,0,1,0,0,0,0,0,0,0,0,0,2015,6907,510
80,4103.8,5615.9,1262.32,3.9,20.8,1,4,22,2,0,1,0,0,0,0,0,0,0,0,0,2015,5343,270
81,9269.19,29882.8,5327.19,7.8,24.5,1,3,42,2,0,1,0,0,0,0,0,0,0,0,0,2015,13407,300
82,582.88,115686,582.88,3.6,7.2,0,1,212,2,0,1,0,0,0,0,0,0,0,0,0,2015,649,0
83,9096.93,9000,1539.21,4.3,39.4,1,9,34,2,0,1,0,0,0,0,0,0,0,0,0,2015,10269,720
84,12496.63,86349.9,2806.22,4.3,30.9,2,6,56,9,0,0,0,0,0,0,0,0,1,0,0,2015,15676,900
85,23877,130606,36651.29,4.4,27.97,2,6,897,2,0,1,0,0,0,0,0,0,0,0,0,2015,28135,850
86,2491.35,12175,781.29,4.2,18.05,0,4,10,2,0,1,0,0,0,0,0,0,0,0,0,2015,3637,300
87,2067.28,22024,753.12,4.2,11.5,0,3,28,2,0,1,0,0,0,0,0,0,0,0,0,2015,2248,0
88,17112.16,63753,2625.17,4.5,40.96,2,7,902,2,0,1,0,0,0,0,0,0,0,0,0,2015,18374,780
89,5051.09,12958,3701.98,3.6,14.1,0,3,107,2,0,1,0,0,0,0,0,0,0,0,0,2015,4608,240
90,2637.61,302811,924.38,4.2,13.5,0,3,704,2,0,1,0,0,0,0,0,0,0,0,0,2015,3219,0
91,1108.58,27433,576.96,4.2,21,0,2,41,1,1,0,0,0,0,0,0,0,0,0,0,2015,1234,150
92,3006.81,15072,1887.71,3.7,12.6,0,2,11,1,1,0,0,0,0,0,0,0,0,0,0,2015,1963,180
93,4469.08,11576,4174.2,10,12.9,0,2,17,1,1,0,0,0,0,0,0,0,0,0,0,2015,3543,300
94,1960,792220,1611.07,4.2,21,0,1,107,1,1,0,0,0,0,0,0,0,0,0,0,2015,1597,0
95,1502.4,41855,1502.4,4.2,8.9,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,2015,986,80
96,1351.81,1540,473.19,4.2,15.4,0,4,20,5,0,0,0,0,1,0,0,0,0,0,0,2015,1682,240
97,2587.68,1293148,1188.04,4.2,8.8,0,3,107,5,0,0,0,0,1,0,0,0,0,0,0,2015,2278,210
98,992.51,39722,258.23,3.6,17.4,0,4,5,5,0,0,0,0,1,0,0,0,0,0,0,2015,1408,0
99,4012.86,1558,659.96,4.2,23,0,6,12,5,0,0,0,0,1,0,0,0,0,0,0,2015,5168,240
100,2947.7,2960,770.97,4.2,19.4,0,5,107,5,0,0,0,0,1,0,0,0,0,0,0,2015,4431,0
101,615.57,984,253.83,3.1,13.07,0,4,3,5,0,0,0,0,1,0,0,0,0,0,0,2015,869,0
102,3542.67,4454.48,886.22,3,18.25,1,4,236,5,0,0,0,0,1,0,0,0,0,0,0,2015,4005,540
103,3532.18,14504,2655.17,3.9,11.6,1,2,52,5,0,0,0,0,1,0,0,0,0,0,0,2015,4619,330
104,1449.7,157374,881.3,3.5,9.9,0,2,5,5,0,0,0,0,1,0,0,0,0,0,0,2015,1483,270
105,1505.62,1571,841.2,3.6,15.5,1,2,8,5,0,0,0,0,1,0,0,0,0,0,0,2015,2128,300
106,2114.83,3784,741.15,3.6,16.6,1,3,23,5,0,0,0,0,1,0,0,0,0,0,0,2015,2682,270
107,911.65,3163,480,3.6,9.3,1,3,107,5,0,0,0,0,1,0,0,0,0,0,0,2015,1424,150
108,979.63,1373.9,495.76,4.2,15.45,1,3,7,6,0,0,0,0,0,1,0,0,0,0,0,2015,1483,240
109,4156.44,3370,765.366,3.9,20.66,2,4,58,7,0,0,0,0,0,0,1,0,0,0,0,2015,5160,480
110,15664.06,15001,5296.23,4.2,20.07,1,4,95,7,0,0,0,0,0,0,1,0,0,0,0,2015,15996,660
111,19844.05,160818,11392,4.2,13.4,1,4,262,10,0,0,0,0,0,0,0,0,0,1,0,2015,27380,1080
112,1885.23,102651.22,725.04,4.2,10.9,0,3,107,10,0,0,0,0,0,0,0,0,0,1,0,2015,2491,360
113,4326.7,12350,775.65,2.9,27.4,1,9,43,10,0,0,0,0,0,0,0,0,0,1,0,2015,4564,450
114,1826.66,130765,554.54,4.2,19.88,1,4,17,8,0,0,0,0,0,0,0,1,0,0,0,2015,4033,390
115,1637.92,643626,554.94,4.8,17.2,0,3,20,8,0,0,0,0,0,0,0,1,0,0,0,2015,2852,365
116,4157.8,25093,1655.22,4.5,19,0,3,130,8,0,0,0,0,0,0,0,1,0,0,0,2015,6570,540
117,2277.31,14534.99,1758.12,4.2,21,0,2,24,1,1,0,0,0,0,0,0,0,0,0,0,2015,3260,540
118,3708.42,37770,1724.89,4.2,14.55,1,3,616,4,0,0,0,1,0,0,0,0,0,0,0,2015,5246,480
119,3545.6,42487,715.89,3.9,17.1,1,3,70,3,0,0,1,0,0,0,0,0,0,0,0,2016,3798,240
120,3884.94,22500,897.23,4.5,20.54,1,4,11,3,0,0,1,0,0,0,0,0,0,0,0,2016,5012,420
121,4895.37,3443.6,1446.69,4.5,24.9,1,5,52,3,0,0,1,0,0,0,0,0,0,0,0,2016,5916,365
122,1832.43,10983,1367.44,4.5,9.7,0,2,18,3,0,0,1,0,0,0,0,0,0,0,0,2016,3040,0
123,859.55,8573,614.75,3.6,11.25,0,2,10,3,0,0,1,0,0,0,0,0,0,0,0,2016,3269,360
124,983.84,1830,599.32,3.9,14.7,0,2,18,3,0,0,1,0,0,0,0,0,0,0,0,2016,1911,180
125,3459.85,2496,889.79,4.2,18.1,1,4,25,3,0,0,1,0,0,0,0,0,0,0,0,2016,4625,730
126,1546.22,1983.5,518.68,4.2,12.9,1,3,39,3,0,0,1,0,0,0,0,0,0,0,0,2016,1953,250
127,1959.02,3432,622.12,4.2,21,1,3,51,3,0,0,1,0,0,0,0,0,0,0,0,2016,3134,244
128,1311.27,6659.6,26.48,3.9,21.15,1,6,14,3,0,0,1,0,0,0,0,0,0,0,0,2016,1730,0
129,2445.98,2288.9,583.77,3.9,18.4,1,3,42,3,0,0,1,0,0,0,0,0,0,0,0,2016,3543,306
130,895.67,2007,320.13,3.8,14.8,0,3,23,3,0,0,1,0,0,0,0,0,0,0,0,2016,1280,0
131,2455.72,4856.4,961.53,4.2,15.1,1,3,53,3,0,0,1,0,0,0,0,0,0,0,0,2016,3101,420
132,738.01,1446.1,310.02,3.6,13.2,0,3,16,3,0,0,1,0,0,0,0,0,0,0,0,2016,1137,180
133,862.12,22957,318.44,3.6,16.1,0,3,8,3,0,0,1,0,0,0,0,0,0,0,0,2016,1283,0
134,1745.52,2822,628.12,3.9,13.75,1,3,34,3,0,0,1,0,0,0,0,0,0,0,0,2016,3050,240
135,2917.51,3528.58,993.35,5.1,18.6,1,3,8,3,0,0,1,0,0,0,0,0,0,0,0,2016,5219,365
136,407.95,2771,1075.87,3.6,12.67,0,3,4,3,0,0,1,0,0,0,0,0,0,0,0,2016,636,0
